Name,Level,Category,x,y
Alofau Elementary School,Elementary,Public,542987.5086,8421955.452
Fagaitua High School,High,Public,541424.7172,8422622.954
Masefau Elementary,Elementary,Public,539736.3455,8423879.43
Laulii Elementary School,Elementary,Public,537284.8032,8420649.778
Aua Elementary School,Elementary,Public,536259.439,8422476.704
Samoana High School,High,Public,534077.227,8421282.677
Coleman Elementary School,Elementary,Public,531728.8897,8421998.367
Manulele Elementary School,Elementary,Public,529464.5675,8416701.896
Pavaiai Elementary School,Elementary,Public,526653.4265,8415422.434
Lupelele Elementary School,Elementary,Public,527275.1973,8413980.897
Leone High School,High,Public,523836.2568,8413532.167
Alataua-Lua Elementary School,Elementary,Public,520840.4999,8416090.358
St. Theresa Elementary School,Elementary,Private,523221.3751,8414816.432
Taputapu Elementary School,Elementary,Public,517766.2813,8417016.494
St. Francis Elementary School,Elementary,Private,535106.4068,8422609.479
South Pacific Academy,Both,Private,530259.0838,8415732.905
South Pacific International Christian Center,Elementary,Private,534703.6721,8419419.585
Matafao Elementary School,Elementary,Public,534647.6476,8420400.216
Siliaga Elementary School,Elementary,Public,524979.2985,8417322.839
Nu'uuli Poly Tech High School,High,Public,530758.4564,8416584.625
Manumalo Baptist School,Elementary,Private,528643.7338,8417123.341
Manulele Jr. High,High,Public,529904.0816,8415798.626
American Samoa Community College,College,Public,527801.7651,8416614.179
Kanana Fou School,Both,Private,529468.012,8416037.663
Mauga-O-Alava Elementary School,Elementary,Public,535265.2562,8425144.681
Matatula Elementary School,Elementary,Public,546890.6827,8424310.882
Le'atele Elementary School,Elementary,Public,529526.741,8420420.921
Olomoana Elementary School,Elementary,Public,544551.8776,8423274.535
Afono Elementary School,Elementary,Public,537373.8092,8423633.731
Lutali Elementary School,Elementary,Public,547884.2731,8420373.945
Iakina Adventist Academy,Both,Private,528526.3083,8414416.102
Tafuna High School,High,Public,530530.8813,8415819.137
Leone Midkiff Elementary,Elementary,Public,523456.5145,8414207.409
Marist Fa'asao High School,High,Private,524520.5257,8414206.4
Pacific Horizons School,Both,Private,528987.2557,8415707.674
Samoa Baptist Academy,Both,Private,529362.9291,8415500.476