Year,Birth order,Age,Value
1988,a,Total,400
1988,Second,Total,368
1988,Third,Total,309
1988,Fourth,Total,204
1988,Fifth,Total,127
1988,Sixth,Total,105
1988,Seventh,Total,56
1988,Eighth,Total,28
1988,Ninth,Total,13
1988,10th and higher,Total,15
1988,First,15 - 19,85
1988,Second,15 - 19,22
1988,Third,15 - 19,7
1988,Fourth,15 - 19,0
1988,Fifth,15 - 19,0
1988,Sixth,15 - 19,0
1988,Seventh,15 - 19,0
1988,Eighth,15 - 19,0
1988,Ninth,15 - 19,0
1988,10th and higher,15 - 19,0
1988,First,20 - 24,200
1988,Second,20 - 24,167
1988,Third,20 - 24,87
1988,Fourth,20 - 24,31
1988,Fifth,20 - 24,5
1988,Sixth,20 - 24,3
1988,Seventh,20 - 24,2
1988,Eighth,20 - 24,0
1988,Ninth,20 - 24,0
1988,10th and higher,20 - 24,0
1988,First,25 - 29,85
1988,Second,25 - 29,132
1988,Third,25 - 29,150
1988,Fourth,25 - 29,98
1988,Fifth,25 - 29,44
1988,Sixth,25 - 29,33
1988,Seventh,25 - 29,5
1988,Eighth,25 - 29,4
1988,Ninth,25 - 29,1
1988,10th and higher,25 - 29,0
1988,First,30 - 34,25
1988,Second,30 - 34,40
1988,Third,30 - 34,49
1988,Fourth,30 - 34,55
1988,Fifth,30 - 34,52
1988,Sixth,30 - 34,41
1988,Seventh,30 - 34,26
1988,Eighth,30 - 34,10
1988,Ninth,30 - 34,5
1988,10th and higher,30 - 34,3
1988,First,35 - 39,1
1988,Second,35 - 39,7
1988,Third,35 - 39,14
1988,Fourth,35 - 39,17
1988,Fifth,35 - 39,23
1988,Sixth,35 - 39,26
1988,Seventh,35 - 39,20
1988,Eighth,35 - 39,12
1988,Ninth,35 - 39,6
1988,10th and higher,35 - 39,8
1988,First,40 +,1
1988,Second,40 +,0
1988,Third,40 +,2
1988,Fourth,40 +,3
1988,Fifth,40 +,3
1988,Sixth,40 +,2
1988,Seventh,40 +,3
1988,Eighth,40 +,2
1988,Ninth,40 +,1
1988,10th and higher,40 +,4
1993,First,Total,456
1993,Second,Total,408
1993,Third,Total,324
1993,Fourth,Total,274
1993,Fifth,Total,199
1993,Sixth,Total,139
1993,Seventh,Total,90
1993,Eighth,Total,65
1993,Ninth,Total,22
1993,10th and higher,Total,21
1993,First,15 - 19,95
1993,Second,15 - 19,38
1993,Third,15 - 19,2
1993,Fourth,15 - 19,2
1993,Fifth,15 - 19,0
1993,Sixth,15 - 19,0
1993,Seventh,15 - 19,0
1993,Eighth,15 - 19,0
1993,Ninth,15 - 19,0
1993,10th and higher,15 - 19,0
1993,First,20 - 24,229
1993,Second,20 - 24,182
1993,Third,20 - 24,97
1993,Fourth,20 - 24,46
1993,Fifth,20 - 24,14
1993,Sixth,20 - 24,5
1993,Seventh,20 - 24,1
1993,Eighth,20 - 24,0
1993,Ninth,20 - 24,0
1993,10th and higher,20 - 24,0
1993,First,25 - 29,93
1993,Second,25 - 29,132
1993,Third,25 - 29,137
1993,Fourth,25 - 29,116
1993,Fifth,25 - 29,77
1993,Sixth,25 - 29,37
1993,Seventh,25 - 29,15
1993,Eighth,25 - 29,5
1993,Ninth,25 - 29,2
1993,10th and higher,25 - 29,0
1993,First,30 - 34,31
1993,Second,30 - 34,49
1993,Third,30 - 34,64
1993,Fourth,30 - 34,83
1993,Fifth,30 - 34,68
1993,Sixth,30 - 34,57
1993,Seventh,30 - 34,40
1993,Eighth,30 - 34,30
1993,Ninth,30 - 34,7
1993,10th and higher,30 - 34,4
1993,First,35 - 39,6
1993,Second,35 - 39,7
1993,Third,35 - 39,20
1993,Fourth,35 - 39,26
1993,Fifth,35 - 39,33
1993,Sixth,35 - 39,33
1993,Seventh,35 - 39,28
1993,Eighth,35 - 39,24
1993,Ninth,35 - 39,10
1993,10th and higher,35 - 39,10
1993,First,40 +,0
1993,Second,40 +,0
1993,Third,40 +,4
1993,Fourth,40 +,1
1993,Fifth,40 +,7
1993,Sixth,40 +,7
1993,Seventh,40 +,6
1993,Eighth,40 +,6
1993,Ninth,40 +,3
1993,10th and higher,40 +,7
2000,First,Total,420
2000,Second,Total,378
2000,Third,Total,275
2000,Fourth,Total,207
2000,Fifth,Total,199
2000,Sixth,Total,113
2000,Seventh,Total,69
2000,Eighth,Total,28
2000,Ninth,Total,18
2000,10th and higher,Total,23
2000,First,15 - 19,107
2000,Second,15 - 19,26
2000,Third,15 - 19,5
2000,Fourth,15 - 19,1
2000,Fifth,15 - 19,0
2000,Sixth,15 - 19,0
2000,Seventh,15 - 19,0
2000,Eighth,15 - 19,0
2000,Ninth,15 - 19,0
2000,10th and higher,15 - 19,0
2000,First,20 - 24,187
2000,Second,20 - 24,157
2000,Third,20 - 24,66
2000,Fourth,20 - 24,12
2000,Fifth,20 - 24,5
2000,Sixth,20 - 24,1
2000,Seventh,20 - 24,0
2000,Eighth,20 - 24,0
2000,Ninth,20 - 24,0
2000,10th and higher,20 - 24,0
2000,First,25 - 29,89
2000,Second,25 - 29,130
2000,Third,25 - 29,112
2000,Fourth,25 - 29,75
2000,Fifth,25 - 29,68
2000,Sixth,25 - 29,25
2000,Seventh,25 - 29,11
2000,Eighth,25 - 29,0
2000,Ninth,25 - 29,0
2000,10th and higher,25 - 29,0
2000,First,30 - 34,22
2000,Second,30 - 34,52
2000,Third,30 - 34,68
2000,Fourth,30 - 34,90
2000,Fifth,30 - 34,70
2000,Sixth,30 - 34,44
2000,Seventh,30 - 34,28
2000,Eighth,30 - 34,11
2000,Ninth,30 - 34,5
2000,10th and higher,30 - 34,4
2000,First,35 - 39,11
2000,Second,35 - 39,11
2000,Third,35 - 39,21
2000,Fourth,35 - 39,25
2000,Fifth,35 - 39,48
2000,Sixth,35 - 39,35
2000,Seventh,35 - 39,22
2000,Eighth,35 - 39,14
2000,Ninth,35 - 39,9
2000,10th and higher,35 - 39,16
2000,First,40 +,1
2000,Second,40 +,2
2000,Third,40 +,3
2000,Fourth,40 +,4
2000,Fifth,40 +,8
2000,Sixth,40 +,8
2000,Seventh,40 +,8
2000,Eighth,40 +,3
2000,Ninth,40 +,4
2000,10th and higher,40 +,3
2005,First,Total,348
2005,Second,Total,338
2005,Third,Total,307
2005,Fourth,Total,259
2005,Fifth,Total,176
2005,Sixth,Total,122
2005,Seventh,Total,72
2005,Eighth,Total,51
2005,Ninth,Total,26
2005,10th and higher,Total,21
2005,First,15 - 19,85
2005,Second,15 - 19,13
2005,Third,15 - 19,3
2005,Fourth,15 - 19,0
2005,Fifth,15 - 19,0
2005,Sixth,15 - 19,0
2005,Seventh,15 - 19,0
2005,Eighth,15 - 19,0
2005,Ninth,15 - 19,0
2005,10th and higher,15 - 19,0
2005,First,20 - 24,154
2005,Second,20 - 24,146
2005,Third,20 - 24,70
2005,Fourth,20 - 24,29
2005,Fifth,20 - 24,5
2005,Sixth,20 - 24,2
2005,Seventh,20 - 24,0
2005,Eighth,20 - 24,0
2005,Ninth,20 - 24,0
2005,10th and higher,20 - 24,0
2005,First,25 - 29,74
2005,Second,25 - 29,117
2005,Third,25 - 29,145
2005,Fourth,25 - 29,101
2005,Fifth,25 - 29,55
2005,Sixth,25 - 29,19
2005,Seventh,25 - 29,5
2005,Eighth,25 - 29,1
2005,Ninth,25 - 29,0
2005,10th and higher,25 - 29,0
2005,First,30 - 34,25
2005,Second,30 - 34,41
2005,Third,30 - 34,59
2005,Fourth,30 - 34,80
2005,Fifth,30 - 34,67
2005,Sixth,30 - 34,49
2005,Seventh,30 - 34,25
2005,Eighth,30 - 34,19
2005,Ninth,30 - 34,4
2005,10th and higher,30 - 34,2
2005,First,35 - 39,8
2005,Second,35 - 39,14
2005,Third,35 - 39,27
2005,Fourth,35 - 39,43
2005,Fifth,35 - 39,39
2005,Sixth,35 - 39,34
2005,Seventh,35 - 39,33
2005,Eighth,35 - 39,23
2005,Ninth,35 - 39,14
2005,10th and higher,35 - 39,13
2005,First,40 +,2
2005,Second,40 +,7
2005,Third,40 +,3
2005,Fourth,40 +,6
2005,Fifth,40 +,10
2005,Sixth,40 +,18
2005,Seventh,40 +,9
2005,Eighth,40 +,8
2005,Ninth,40 +,8
2005,10th and higher,40 +,6
2006,First,Total,331
2006,Second,Total,286
2006,Third,Total,236
2006,Fourth,Total,211
2006,Fifth,Total,173
2006,Sixth,Total,88
2006,Seventh,Total,50
2006,Eighth,Total,30
2006,Ninth,Total,24
2006,10th and higher,Total,13
2006,First,15 - 19,92
2006,Second,15 - 19,15
2006,Third,15 - 19,3
2006,Fourth,15 - 19,0
2006,Fifth,15 - 19,0
2006,Sixth,15 - 19,0
2006,Seventh,15 - 19,0
2006,Eighth,15 - 19,0
2006,Ninth,15 - 19,0
2006,10th and higher,15 - 19,0
2006,First,20 - 24,140
2006,Second,20 - 24,110
2006,Third,20 - 24,55
2006,Fourth,20 - 24,28
2006,Fifth,20 - 24,8
2006,Sixth,20 - 24,1
2006,Seventh,20 - 24,0
2006,Eighth,20 - 24,0
2006,Ninth,20 - 24,0
2006,10th and higher,20 - 24,0
2006,First,25 - 29,63
2006,Second,25 - 29,91
2006,Third,25 - 29,98
2006,Fourth,25 - 29,88
2006,Fifth,25 - 29,46
2006,Sixth,25 - 29,14
2006,Seventh,25 - 29,9
2006,Eighth,25 - 29,0
2006,Ninth,25 - 29,1
2006,10th and higher,25 - 29,0
2006,First,30 - 34,20
2006,Second,30 - 34,50
2006,Third,30 - 34,52
2006,Fourth,30 - 34,49
2006,Fifth,30 - 34,65
2006,Sixth,30 - 34,29
2006,Seventh,30 - 34,16
2006,Eighth,30 - 34,11
2006,Ninth,30 - 34,7
2006,10th and higher,30 - 34,4
2006,First,35 - 39,14
2006,Second,35 - 39,19
2006,Third,35 - 39,20
2006,Fourth,35 - 39,42
2006,Fifth,35 - 39,44
2006,Sixth,35 - 39,33
2006,Seventh,35 - 39,19
2006,Eighth,35 - 39,12
2006,Ninth,35 - 39,10
2006,10th and higher,35 - 39,5
2006,First,40 - 44,1
2006,Second,40 - 44,1
2006,Third,40 - 44,7
2006,Fourth,40 - 44,4
2006,Fifth,40 - 44,9
2006,Sixth,40 - 44,10
2006,Seventh,40 - 44,6
2006,Eighth,40 - 44,7
2006,Ninth,40 - 44,6
2006,10th and higher,40 - 44,4
2006,First,45 - 49,0
2006,Second,45 - 49,0
2006,Third,45 - 49,1
2006,Fourth,45 - 49,0
2006,Fifth,45 - 49,1
2006,Sixth,45 - 49,1
2006,Seventh,45 - 49,0
2006,Eighth,45 - 49,0
2006,Ninth,45 - 49,0
2006,10th and higher,45 - 49,0
2013,First,Total,307
2013,Second,Total,258
2013,Third,Total,185
2013,Fourth,Total,130
2013,Fifth,Total,105
2013,Sixth,Total,76
2013,Seventh,Total,59
2013,Eighth,Total,21
2013,Ninth,Total,8
2013,10th and higher,Total,12
2013,First,15 - 19,106
2013,Second,15 - 19,26
2013,Third,15 - 19,2
2013,Fourth,15 - 19,1
2013,Fifth,15 - 19,0
2013,Sixth,15 - 19,0
2013,Seventh,15 - 19,0
2013,Eighth,15 - 19,0
2013,Ninth,15 - 19,0
2013,10th and higher,15 - 19,0
2013,First,20 - 24,123
2013,Second,20 - 24,104
2013,Third,20 - 24,59
2013,Fourth,20 - 24,22
2013,Fifth,20 - 24,6
2013,Sixth,20 - 24,2
2013,Seventh,20 - 24,0
2013,Eighth,20 - 24,0
2013,Ninth,20 - 24,0
2013,10th and higher,20 - 24,0
2013,First,25 - 29,47
2013,Second,25 - 29,77
2013,Third,25 - 29,60
2013,Fourth,25 - 29,34
2013,Fifth,25 - 29,30
2013,Sixth,25 - 29,11
2013,Seventh,25 - 29,8
2013,Eighth,25 - 29,0
2013,Ninth,25 - 29,0
2013,10th and higher,25 - 29,0
2013,First,30 - 34,18
2013,Second,30 - 34,33
2013,Third,30 - 34,38
2013,Fourth,30 - 34,48
2013,Fifth,30 - 34,39
2013,Sixth,30 - 34,37
2013,Seventh,30 - 34,22
2013,Eighth,30 - 34,7
2013,Ninth,30 - 34,4
2013,10th and higher,30 - 34,0
2013,First,35 - 39,9
2013,Second,35 - 39,16
2013,Third,35 - 39,19
2013,Fourth,35 - 39,21
2013,Fifth,35 - 39,22
2013,Sixth,35 - 39,20
2013,Seventh,35 - 39,23
2013,Eighth,35 - 39,10
2013,Ninth,35 - 39,3
2013,10th and higher,35 - 39,8
2013,First,40 - 44,2
2013,Second,40 - 44,2
2013,Third,40 - 44,7
2013,Fourth,40 - 44,4
2013,Fifth,40 - 44,8
2013,Sixth,40 - 44,6
2013,Seventh,40 - 44,6
2013,Eighth,40 - 44,4
2013,Ninth,40 - 44,1
2013,10th and higher,40 - 44,4
2013,First,45 - 49,0
2013,Second,45 - 49,0
2013,Third,45 - 49,0
2013,Fourth,45 - 49,0
2013,Fifth,45 - 49,0
2013,Sixth,45 - 49,0
2013,Seventh,45 - 49,0
2013,Eighth,45 - 49,0
2013,Ninth,45 - 49,0
2013,10th and higher,45 - 49,0
2014,First,Total,300
2014,Second,Total,215
2014,Third,Total,196
2014,Fourth,Total,141
2014,Fifth,Total,84
2014,Sixth,Total,64
2014,Seventh,Total,28
2014,Eighth,Total,39
2014,Ninth,Total,11
2014,10th and higher,Total,6
2014,First,15 - 19,95
2014,Second,15 - 19,20
2014,Third,15 - 19,2
2014,Fourth,15 - 19,0
2014,Fifth,15 - 19,0
2014,Sixth,15 - 19,0
2014,Seventh,15 - 19,0
2014,Eighth,15 - 19,0
2014,Ninth,15 - 19,0
2014,10th and higher,15 - 19,0
2014,First,20 - 24,129
2014,Second,20 - 24,87
2014,Third,20 - 24,52
2014,Fourth,20 - 24,18
2014,Fifth,20 - 24,3
2014,Sixth,20 - 24,2
2014,Seventh,20 - 24,0
2014,Eighth,20 - 24,0
2014,Ninth,20 - 24,0
2014,10th and higher,20 - 24,0
2014,First,25 - 29,44
2014,Second,25 - 29,61
2014,Third,25 - 29,86
2014,Fourth,25 - 29,47
2014,Fifth,25 - 29,29
2014,Sixth,25 - 29,18
2014,Seventh,25 - 29,2
2014,Eighth,25 - 29,1
2014,Ninth,25 - 29,0
2014,10th and higher,25 - 29,0
2014,First,30 - 34,20
2014,Second,30 - 34,34
2014,Third,30 - 34,37
2014,Fourth,30 - 34,39
2014,Fifth,30 - 34,24
2014,Sixth,30 - 34,24
2014,Seventh,30 - 34,9
2014,Eighth,30 - 34,17
2014,Ninth,30 - 34,3
2014,10th and higher,30 - 34,0
2014,First,35 - 39,7
2014,Second,35 - 39,11
2014,Third,35 - 39,17
2014,Fourth,35 - 39,27
2014,Fifth,35 - 39,22
2014,Sixth,35 - 39,17
2014,Seventh,35 - 39,13
2014,Eighth,35 - 39,14
2014,Ninth,35 - 39,4
2014,10th and higher,35 - 39,3
2014,First,40 - 44,5
2014,Second,40 - 44,1
2014,Third,40 - 44,2
2014,Fourth,40 - 44,10
2014,Fifth,40 - 44,5
2014,Sixth,40 - 44,3
2014,Seventh,40 - 44,3
2014,Eighth,40 - 44,7
2014,Ninth,40 - 44,4
2014,10th and higher,40 - 44,3
2014,First,45 - 49,0
2014,Second,45 - 49,1
2014,Third,45 - 49,0
2014,Fourth,45 - 49,0
2014,Fifth,45 - 49,1
2014,Sixth,45 - 49,0
2014,Seventh,45 - 49,1
2014,Eighth,45 - 49,0
2014,Ninth,45 - 49,0
2014,10th and higher,45 - 49,0